item_id,target,matrix_antecedent,local_matching,local_mismatching,matrix_frame,coarg_verb,picture_frame,condition,local_match,context_type,sentence
17,himself,Tom,Robert,Emma,thinks that,defended,liked a picture of,-Local+Coarg,0,coarg,Tom thinks that Emma defended himself.
17,himself,Tom,Robert,Emma,thinks that,defended,liked a picture of,-Local+Picture,0,picture_np,Tom thinks that Emma liked a picture of himself.
18,herself,Anna,Laura,Michael,was upset that,praised,found a picture of,+Local+Coarg,1,coarg,Anna was upset that Laura praised herself.
18,herself,Anna,Laura,Michael,was upset that,praised,found a picture of,+Local+Picture,1,picture_np,Anna was upset that Laura found a picture of herself.
18,herself,Anna,Laura,Michael,was upset that,praised,found a picture of,-Local+Coarg,0,coarg,Anna was upset that Michael praised herself.
18,herself,Anna,Laura,Michael,was upset that,praised,found a picture of,-Local+Picture,0,picture_np,Anna was upset that Michael found a picture of herself.
19,himself,Peter,Daniel,Susan,believes that,blamed,bought a picture of,+Local+Coarg,1,coarg,Peter believes that Daniel blamed himself.
19,himself,Peter,Daniel,Susan,believes that,blamed,bought a picture of,+Local+Picture,1,picture_np,Peter believes that Daniel bought a picture of himself.
19,himself,Peter,Daniel,Susan,believes that,blamed,bought a picture of,-Local+Coarg,0,coarg,Peter believes that Susan blamed himself.
19,himself,Peter,Daniel,Susan,believes that,blamed,bought a picture of,-Local+Picture,0,picture_np,Peter believes that Susan bought a picture of himself.
20,herself,Emily,Hannah,Ben,was glad that,embarrassed,looked at a picture of,+Local+Coarg,1,coarg,Emily was glad that Hannah embarrassed herself.
20,herself,Emily,Hannah,Ben,was glad that,embarrassed,looked at a picture of,+Local+Picture,1,picture_np,Emily was glad that Hannah looked at a picture of herself.
20,herself,Emily,Hannah,Ben,was glad that,embarrassed,looked at a picture of,-Local+Coarg,0,coarg,Emily was glad that Ben embarrassed herself.
20,herself,Emily,Hannah,Ben,was glad that,embarrassed,looked at a picture of,-Local+Picture,0,picture_np,Emily was glad that Ben looked at a picture of herself.
21,himself,John,James,Rebecca,thought that,humiliated,saw a picture of,+Local+Coarg,1,coarg,John thought that James humiliated himself.
21,himself,John,James,Rebecca,thought that,humiliated,saw a picture of,+Local+Picture,1,picture_np,John thought that James saw a picture of himself.
21,himself,John,James,Rebecca,thought that,humiliated,saw a picture of,-Local+Coarg,0,coarg,John thought that Rebecca humiliated himself.
21,himself,John,James,Rebecca,thought that,humiliated,saw a picture of,-Local+Picture,0,picture_np,John thought that Rebecca saw a picture of himself.
22,herself,Rachel,Mary,David,thinks that,admired,liked a picture of,+Local+Coarg,1,coarg,Rachel thinks that Mary admired herself.
22,herself,Rachel,Mary,David,thinks that,admired,liked a picture of,+Local+Picture,1,picture_np,Rachel thinks that Mary liked a picture of herself.
22,herself,Rachel,Mary,David,thinks that,admired,liked a picture of,-Local+Coarg,0,coarg,Rachel thinks that David admired herself.
22,herself,Rachel,Mary,David,thinks that,admired,liked a picture of,-Local+Picture,0,picture_np,Rachel thinks that David liked a picture of herself.
23,himself,Michael,Tom,Anna,believes that,criticized,found a picture of,+Local+Coarg,1,coarg,Michael believes that Tom criticized himself.
23,himself,Michael,Tom,Anna,believes that,criticized,found a picture of,+Local+Picture,1,picture_np,Michael believes that Tom found a picture of himself.
23,himself,Michael,Tom,Anna,believes that,criticized,found a picture of,-Local+Coarg,0,coarg,Michael believes that Anna criticized himself.
23,himself,Michael,Tom,Anna,believes that,criticized,found a picture of,-Local+Picture,0,picture_np,Michael believes that Anna found a picture of himself.
24,herself,Laura,Emma,Robert,was glad that,photographed,bought a picture of,+Local+Coarg,1,coarg,Laura was glad that Emma photographed herself.
24,herself,Laura,Emma,Robert,was glad that,photographed,bought a picture of,+Local+Picture,1,picture_np,Laura was glad that Emma bought a picture of herself.
24,herself,Laura,Emma,Robert,was glad that,photographed,bought a picture of,-Local+Coarg,0,coarg,Laura was glad that Robert photographed herself.
24,herself,Laura,Emma,Robert,was glad that,photographed,bought a picture of,-Local+Picture,0,picture_np,Laura was glad that Robert bought a picture of herself.
25,himself,David,Ben,Hannah,thinks that,praised,looked at a picture of,+Local+Coarg,1,coarg,David thinks that Ben praised himself.
25,himself,David,Ben,Hannah,thinks that,praised,looked at a picture of,+Local+Picture,1,picture_np,David thinks that Ben looked at a picture of himself.
25,himself,David,Ben,Hannah,thinks that,praised,looked at a picture of,-Local+Coarg,0,coarg,David thinks that Hannah praised himself.
25,himself,David,Ben,Hannah,thinks that,praised,looked at a picture of,-Local+Picture,0,picture_np,David thinks that Hannah looked at a picture of himself.
26,herself,Rebecca,Susan,Peter,was upset that,defended,saw a picture of,+Local+Coarg,1,coarg,Rebecca was upset that Susan defended herself.
26,herself,Rebecca,Susan,Peter,was upset that,defended,saw a picture of,+Local+Picture,1,picture_np,Rebecca was upset that Susan saw a picture of herself.
26,herself,Rebecca,Susan,Peter,was upset that,defended,saw a picture of,-Local+Coarg,0,coarg,Rebecca was upset that Peter defended herself.
26,herself,Rebecca,Susan,Peter,was upset that,defended,saw a picture of,-Local+Picture,0,picture_np,Rebecca was upset that Peter saw a picture of herself.
27,himself,James,Michael,Emily,believes that,embarrassed,liked a picture of,+Local+Coarg,1,coarg,James believes that Michael embarrassed himself.
27,himself,James,Michael,Emily,believes that,embarrassed,liked a picture of,+Local+Picture,1,picture_np,James believes that Michael liked a picture of himself.
27,himself,James,Michael,Emily,believes that,embarrassed,liked a picture of,-Local+Coarg,0,coarg,James believes that Emily embarrassed himself.
27,himself,James,Michael,Emily,believes that,embarrassed,liked a picture of,-Local+Picture,0,picture_np,James believes that Emily liked a picture of himself.
28,herself,Emma,Rachel,Tom,was glad that,blamed,found a picture of,+Local+Coarg,1,coarg,Emma was glad that Rachel blamed herself.
28,herself,Emma,Rachel,Tom,was glad that,blamed,found a picture of,+Local+Picture,1,picture_np,Emma was glad that Rachel found a picture of herself.
28,herself,Emma,Rachel,Tom,was glad that,blamed,found a picture of,-Local+Coarg,0,coarg,Emma was glad that Tom blamed herself.
28,herself,Emma,Rachel,Tom,was glad that,blamed,found a picture of,-Local+Picture,0,picture_np,Emma was glad that Tom found a picture of herself.
29,himself,Robert,Daniel,Mary,thought that,admired,bought a picture of,+Local+Coarg,1,coarg,Robert thought that Daniel admired himself.
29,himself,Robert,Daniel,Mary,thought that,admired,bought a picture of,+Local+Picture,1,picture_np,Robert thought that Daniel bought a picture of himself.
29,himself,Robert,Daniel,Mary,thought that,admired,bought a picture of,-Local+Coarg,0,coarg,Robert thought that Mary admired himself.
29,himself,Robert,Daniel,Mary,thought that,admired,bought a picture of,-Local+Picture,0,picture_np,Robert thought that Mary bought a picture of himself.
30,herself,Mary,Anna,John,thinks that,humiliated,looked at a picture of,+Local+Coarg,1,coarg,Mary thinks that Anna humiliated herself.
30,herself,Mary,Anna,John,thinks that,humiliated,looked at a picture of,+Local+Picture,1,picture_np,Mary thinks that Anna looked at a picture of herself.
30,herself,Mary,Anna,John,thinks that,humiliated,looked at a picture of,-Local+Coarg,0,coarg,Mary thinks that John humiliated herself.
30,herself,Mary,Anna,John,thinks that,humiliated,looked at a picture of,-Local+Picture,0,picture_np,Mary thinks that John looked at a picture of herself.
31,himself,Daniel,Peter,Laura,believes that,photographed,saw a picture of,+Local+Coarg,1,coarg,Daniel believes that Peter photographed himself.
31,himself,Daniel,Peter,Laura,believes that,photographed,saw a picture of,+Local+Picture,1,picture_np,Daniel believes that Peter saw a picture of himself.
31,himself,Daniel,Peter,Laura,believes that,photographed,saw a picture of,-Local+Coarg,0,coarg,Daniel believes that Laura photographed himself.
31,himself,Daniel,Peter,Laura,believes that,photographed,saw a picture of,-Local+Picture,0,picture_np,Daniel believes that Laura saw a picture of himself.
32,herself,Hannah,Rebecca,James,was glad that,criticized,liked a picture of,+Local+Coarg,1,coarg,Hannah was glad that Rebecca criticized herself.
32,herself,Hannah,Rebecca,James,was glad that,criticized,liked a picture of,+Local+Picture,1,picture_np,Hannah was glad that Rebecca liked a picture of herself.
32,herself,Hannah,Rebecca,James,was glad that,criticized,liked a picture of,-Local+Coarg,0,coarg,Hannah was glad that James criticized herself.
32,herself,Hannah,Rebecca,James,was glad that,criticized,liked a picture of,-Local+Picture,0,picture_np,Hannah was glad that James liked a picture of herself.
