item_id,condition,sentence,target
15,+Local+Coarg,Ben believes that John photographed himself.,himself
15,+Local+Picture,Ben believes that John looked at a picture of himself.,himself
15,-Local+Coarg,Ben believes that Emily photographed himself.,himself
15,-Local+Picture,Ben believes that Emily looked at a picture of himself.,himself
16,+Local+Coarg,Susan was glad that Rebecca humiliated herself.,herself
16,+Local+Picture,Susan was glad that Rebecca saw a picture of herself.,herself
16,-Local+Coarg,Susan was glad that Peter humiliated herself.,herself
16,-Local+Picture,Susan was glad that Peter saw a picture of herself.,herself
17,+Local+Coarg,Tom thinks that Robert defended himself.,himself
17,+Local+Picture,Tom thinks that Robert liked a picture of himself.,himself
17,-Local+Coarg,Tom thinks that Emma defended himself.,himself
17,-Local+Picture,Tom thinks that Emma liked a picture of himself.,himself
18,+Local+Coarg,Anna was upset that Laura praised herself.,herself
18,+Local+Picture,Anna was upset that Laura found a picture of herself.,herself
18,-Local+Coarg,Anna was upset that Michael praised herself.,herself
18,-Local+Picture,Anna was upset that Michael found a picture of herself.,herself
19,+Local+Coarg,Peter believes that Daniel blamed himself.,himself
19,+Local+Picture,Peter believes that Daniel bought a picture of himself.,himself
19,-Local+Coarg,Peter believes that Susan blamed himself.,himself
19,-Local+Picture,Peter believes that Susan bought a picture of himself.,himself
20,+Local+Coarg,Emily was glad that Hannah embarrassed herself.,herself
20,+Local+Picture,Emily was glad that Hannah looked at a picture of herself.,herself
20,-Local+Coarg,Emily was glad that Ben embarrassed herself.,herself
20,-Local+Picture,Emily was glad that Ben looked at a picture of herself.,herself
21,+Local+Coarg,John thought that James humiliated himself.,himself
21,+Local+Picture,John thought that James saw a picture of himself.,himself
21,-Local+Coarg,John thought that Rebecca humiliated himself.,himself
21,-Local+Picture,John thought that Rebecca saw a picture of himself.,himself
22,+Local+Coarg,Rachel thinks that Mary admired herself.,herself
22,+Local+Picture,Rachel thinks that Mary liked a picture of herself.,herself
22,-Local+Coarg,Rachel thinks that David admired herself.,herself
22,-Local+Picture,Rachel thinks that David liked a picture of herself.,herself
23,+Local+Coarg,Michael believes that Tom criticized himself.,himself
23,+Local+Picture,Michael believes that Tom found a picture of himself.,himself
23,-Local+Coarg,Michael believes that Anna criticized himself.,himself
23,-Local+Picture,Michael believes that Anna found a picture of himself.,himself
24,+Local+Coarg,Laura was glad that Emma photographed herself.,herself
24,+Local+Picture,Laura was glad that Emma bought a picture of herself.,herself
24,-Local+Coarg,Laura was glad that Robert photographed herself.,herself
24,-Local+Picture,Laura was glad that Robert bought a picture of herself.,herself
25,+Local+Coarg,David thinks that Ben praised himself.,himself
25,+Local+Picture,David thinks that Ben looked at a picture of himself.,himself
25,-Local+Coarg,David thinks that Hannah praised himself.,himself
25,-Local+Picture,David thinks that Hannah looked at a picture of himself.,himself
26,+Local+Coarg,Rebecca was upset that Susan defended herself.,herself
26,+Local+Picture,Rebecca was upset that Susan saw a picture of herself.,herself
26,-Local+Coarg,Rebecca was upset that Peter defended herself.,herself
26,-Local+Picture,Rebecca was upset that Peter saw a picture of herself.,herself
27,+Local+Coarg,James believes that Michael embarrassed himself.,himself
27,+Local+Picture,James believes that Michael liked a picture of himself.,himself
27,-Local+Coarg,James believes that Emily embarrassed himself.,himself
27,-Local+Picture,James believes that Emily liked a picture of himself.,himself
28,+Local+Coarg,Emma was glad that Rachel blamed herself.,herself
28,+Local+Picture,Emma was glad that Rachel found a picture of herself.,herself
28,-Local+Coarg,Emma was glad that Tom blamed herself.,herself
28,-Local+Picture,Emma was glad that Tom found a picture of herself.,herself
29,+Local+Coarg,Robert thought that Daniel admired himself.,himself
29,+Local+Picture,Robert thought that Daniel bought a picture of himself.,himself
29,-Local+Coarg,Robert thought that Mary admired himself.,himself
29,-Local+Picture,Robert thought that Mary bought a picture of himself.,himself
30,+Local+Coarg,Mary thinks that Anna humiliated herself.,herself
30,+Local+Picture,Mary thinks that Anna looked at a picture of herself.,herself
30,-Local+Coarg,Mary thinks that John humiliated herself.,herself
30,-Local+Picture,Mary thinks that John looked at a picture of herself.,herself
31,+Local+Coarg,Daniel believes that Peter photographed himself.,himself
31,+Local+Picture,Daniel believes that Peter saw a picture of himself.,himself
31,-Local+Coarg,Daniel believes that Laura photographed himself.,himself
31,-Local+Picture,Daniel believes that Laura saw a picture of himself.,himself
32,+Local+Coarg,Hannah was glad that Rebecca criticized herself.,herself
32,+Local+Picture,Hannah was glad that Rebecca liked a picture of herself.,herself
32,-Local+Coarg,Hannah was glad that James criticized herself.,herself
32,-Local+Picture,Hannah was glad that James liked a picture of herself.,herself
