item_id,condition,sentence,target
16,+Head+Distractor,The teachers of the researchers questioned themselves.,themselves
16,+Head-Distractor,The teachers of the researcher questioned themselves.,themselves
16,-Head+Distractor,The teacher of the researchers questioned themselves.,themselves
16,-Head-Distractor,The teacher of the researcher questioned themselves.,themselves
17,+Head+Distractor,The friends of the doctors congratulated themselves.,themselves
17,+Head-Distractor,The friends of the doctor congratulated themselves.,themselves
17,-Head+Distractor,The friend of the doctors congratulated themselves.,themselves
17,-Head-Distractor,The friend of the doctor congratulated themselves.,themselves
18,+Head+Distractor,The neighbors of the students embarrassed themselves.,themselves
18,+Head-Distractor,The neighbors of the student embarrassed themselves.,themselves
18,-Head+Distractor,The neighbor of the students embarrassed themselves.,themselves
18,-Head-Distractor,The neighbor of the student embarrassed themselves.,themselves
19,+Head+Distractor,The sisters of the actors praised themselves.,themselves
19,+Head-Distractor,The sisters of the actor praised themselves.,themselves
19,-Head+Distractor,The sister of the actors praised themselves.,themselves
19,-Head-Distractor,The sister of the actor praised themselves.,themselves
20,+Head+Distractor,The colleagues of the managers congratulated themselves.,themselves
20,+Head-Distractor,The colleagues of the manager congratulated themselves.,themselves
20,-Head+Distractor,The colleague of the managers congratulated themselves.,themselves
20,-Head-Distractor,The colleague of the manager congratulated themselves.,themselves
21,+Head+Distractor,The assistants of the researchers questioned themselves.,themselves
21,+Head-Distractor,The assistants of the researcher questioned themselves.,themselves
21,-Head+Distractor,The assistant of the researchers questioned themselves.,themselves
21,-Head-Distractor,The assistant of the researcher questioned themselves.,themselves
22,+Head+Distractor,The cousins of the teachers protected themselves.,themselves
22,+Head-Distractor,The cousins of the teacher protected themselves.,themselves
22,-Head+Distractor,The cousin of the teachers protected themselves.,themselves
22,-Head-Distractor,The cousin of the teacher protected themselves.,themselves
23,+Head+Distractor,The fans of the actors protected themselves.,themselves
23,+Head-Distractor,The fans of the actor protected themselves.,themselves
23,-Head+Distractor,The fan of the actors protected themselves.,themselves
23,-Head-Distractor,The fan of the actor protected themselves.,themselves
24,+Head+Distractor,The relatives of the doctors humiliated themselves.,themselves
24,+Head-Distractor,The relatives of the doctor humiliated themselves.,themselves
24,-Head+Distractor,The relative of the doctors humiliated themselves.,themselves
24,-Head-Distractor,The relative of the doctor humiliated themselves.,themselves
25,+Head+Distractor,The fathers of the students challenged themselves.,themselves
25,+Head-Distractor,The fathers of the student challenged themselves.,themselves
25,-Head+Distractor,The father of the students challenged themselves.,themselves
25,-Head-Distractor,The father of the student challenged themselves.,themselves
26,+Head+Distractor,The brothers of the musicians defended themselves.,themselves
26,+Head-Distractor,The brothers of the musician defended themselves.,themselves
26,-Head+Distractor,The brother of the musicians defended themselves.,themselves
26,-Head-Distractor,The brother of the musician defended themselves.,themselves
27,+Head+Distractor,The partners of the lawyers reassured themselves.,themselves
27,+Head-Distractor,The partners of the lawyer reassured themselves.,themselves
27,-Head+Distractor,The partner of the lawyers reassured themselves.,themselves
27,-Head-Distractor,The partner of the lawyer reassured themselves.,themselves
28,+Head+Distractor,The advisors of the professors blamed themselves.,themselves
28,+Head-Distractor,The advisors of the professor blamed themselves.,themselves
28,-Head+Distractor,The advisor of the professors blamed themselves.,themselves
28,-Head-Distractor,The advisor of the professor blamed themselves.,themselves
29,+Head+Distractor,The mothers of the dancers embarrassed themselves.,themselves
29,+Head-Distractor,The mothers of the dancer embarrassed themselves.,themselves
29,-Head+Distractor,The mother of the dancers embarrassed themselves.,themselves
29,-Head-Distractor,The mother of the dancer embarrassed themselves.,themselves
30,+Head+Distractor,The teachers of the singers defended themselves.,themselves
30,+Head-Distractor,The teachers of the singer defended themselves.,themselves
30,-Head+Distractor,The teacher of the singers defended themselves.,themselves
30,-Head-Distractor,The teacher of the singer defended themselves.,themselves
31,+Head+Distractor,The friends of the designers protected themselves.,themselves
31,+Head-Distractor,The friends of the designer protected themselves.,themselves
31,-Head+Distractor,The friend of the designers protected themselves.,themselves
31,-Head-Distractor,The friend of the designer protected themselves.,themselves
32,+Head+Distractor,The neighbors of the musicians criticized themselves.,themselves
32,+Head-Distractor,The neighbors of the musician criticized themselves.,themselves
32,-Head+Distractor,The neighbor of the musicians criticized themselves.,themselves
32,-Head-Distractor,The neighbor of the musician criticized themselves.,themselves
