experiment,item_id,condition,sentence,target
2,5,-Head-Distractor,The sister of the manager praised themselves.,themselves
2,6,+Head+Distractor,The colleagues of the lawyers questioned themselves.,themselves
2,6,+Head-Distractor,The colleagues of the lawyer questioned themselves.,themselves
2,6,-Head+Distractor,The colleague of the lawyers questioned themselves.,themselves
2,6,-Head-Distractor,The colleague of the lawyer questioned themselves.,themselves
2,7,+Head+Distractor,The assistants of the professors defended themselves.,themselves
2,7,+Head-Distractor,The assistants of the professor defended themselves.,themselves
2,7,-Head+Distractor,The assistant of the professors defended themselves.,themselves
2,7,-Head-Distractor,The assistant of the professor defended themselves.,themselves
2,8,+Head+Distractor,The cousins of the musicians reassured themselves.,themselves
2,8,+Head-Distractor,The cousins of the musician reassured themselves.,themselves
2,8,-Head+Distractor,The cousin of the musicians reassured themselves.,themselves
2,8,-Head-Distractor,The cousin of the musician reassured themselves.,themselves
2,9,+Head+Distractor,The fans of the singers challenged themselves.,themselves
2,9,+Head-Distractor,The fans of the singer challenged themselves.,themselves
2,9,-Head+Distractor,The fan of the singers challenged themselves.,themselves
2,9,-Head-Distractor,The fan of the singer challenged themselves.,themselves
2,10,+Head+Distractor,The relatives of the patients criticized themselves.,themselves
2,10,+Head-Distractor,The relatives of the patient criticized themselves.,themselves
2,10,-Head+Distractor,The relative of the patients criticized themselves.,themselves
2,10,-Head-Distractor,The relative of the patient criticized themselves.,themselves
2,11,+Head+Distractor,The fathers of the girls congratulated themselves.,themselves
2,11,+Head-Distractor,The fathers of the girl congratulated themselves.,themselves
2,11,-Head+Distractor,The father of the girls congratulated themselves.,themselves
2,11,-Head-Distractor,The father of the girl congratulated themselves.,themselves
2,12,+Head+Distractor,The brothers of the dancers challenged themselves.,themselves
2,12,+Head-Distractor,The brothers of the dancer challenged themselves.,themselves
2,12,-Head+Distractor,The brother of the dancers challenged themselves.,themselves
2,12,-Head-Distractor,The brother of the dancer challenged themselves.,themselves
2,13,+Head+Distractor,The partners of the designers praised themselves.,themselves
2,13,+Head-Distractor,The partners of the designer praised themselves.,themselves
2,13,-Head+Distractor,The partner of the designers praised themselves.,themselves
2,13,-Head-Distractor,The partner of the designer praised themselves.,themselves
2,14,+Head+Distractor,The lawyers of the politicians reassured themselves.,themselves
2,14,+Head-Distractor,The lawyers of the politician reassured themselves.,themselves
2,14,-Head+Distractor,The lawyer of the politicians reassured themselves.,themselves
2,14,-Head-Distractor,The lawyer of the politician reassured themselves.,themselves
2,15,+Head+Distractor,The advisors of the scientists blamed themselves.,themselves
2,15,+Head-Distractor,The advisors of the scientist blamed themselves.,themselves
2,15,-Head+Distractor,The advisor of the scientists blamed themselves.,themselves
2,15,-Head-Distractor,The advisor of the scientist blamed themselves.,themselves
2,16,+Head+Distractor,The teachers of the researchers questioned themselves.,themselves
2,16,+Head-Distractor,The teachers of the researcher questioned themselves.,themselves
2,16,-Head+Distractor,The teacher of the researchers questioned themselves.,themselves
2,16,-Head-Distractor,The teacher of the researcher questioned themselves.,themselves
2,17,+Head+Distractor,The friends of the doctors congratulated themselves.,themselves
2,17,+Head-Distractor,The friends of the doctor congratulated themselves.,themselves
2,17,-Head+Distractor,The friend of the doctors congratulated themselves.,themselves
2,17,-Head-Distractor,The friend of the doctor congratulated themselves.,themselves
2,18,+Head+Distractor,The neighbors of the students embarrassed themselves.,themselves
2,18,+Head-Distractor,The neighbors of the student embarrassed themselves.,themselves
2,18,-Head+Distractor,The neighbor of the students embarrassed themselves.,themselves
2,18,-Head-Distractor,The neighbor of the student embarrassed themselves.,themselves
2,19,+Head+Distractor,The sisters of the actors praised themselves.,themselves
2,19,+Head-Distractor,The sisters of the actor praised themselves.,themselves
2,19,-Head+Distractor,The sister of the actors praised themselves.,themselves
2,19,-Head-Distractor,The sister of the actor praised themselves.,themselves
2,20,+Head+Distractor,The colleagues of the managers congratulated themselves.,themselves
2,20,+Head-Distractor,The colleagues of the manager congratulated themselves.,themselves
2,20,-Head+Distractor,The colleague of the managers congratulated themselves.,themselves
2,20,-Head-Distractor,The colleague of the manager congratulated themselves.,themselves
2,21,+Head+Distractor,The assistants of the researchers questioned themselves.,themselves
2,21,+Head-Distractor,The assistants of the researcher questioned themselves.,themselves
2,21,-Head+Distractor,The assistant of the researchers questioned themselves.,themselves
2,21,-Head-Distractor,The assistant of the researcher questioned themselves.,themselves
2,22,+Head+Distractor,The cousins of the teachers protected themselves.,themselves
2,22,+Head-Distractor,The cousins of the teacher protected themselves.,themselves
2,22,-Head+Distractor,The cousin of the teachers protected themselves.,themselves
2,22,-Head-Distractor,The cousin of the teacher protected themselves.,themselves
2,23,+Head+Distractor,The fans of the actors protected themselves.,themselves
2,23,+Head-Distractor,The fans of the actor protected themselves.,themselves
2,23,-Head+Distractor,The fan of the actors protected themselves.,themselves
2,23,-Head-Distractor,The fan of the actor protected themselves.,themselves
2,24,+Head+Distractor,The relatives of the doctors humiliated themselves.,themselves
2,24,+Head-Distractor,The relatives of the doctor humiliated themselves.,themselves
2,24,-Head+Distractor,The relative of the doctors humiliated themselves.,themselves
2,24,-Head-Distractor,The relative of the doctor humiliated themselves.,themselves
2,25,+Head+Distractor,The fathers of the students challenged themselves.,themselves
2,25,+Head-Distractor,The fathers of the student challenged themselves.,themselves
2,25,-Head+Distractor,The father of the students challenged themselves.,themselves
2,25,-Head-Distractor,The father of the student challenged themselves.,themselves
2,26,+Head+Distractor,The brothers of the musicians defended themselves.,themselves
2,26,+Head-Distractor,The brothers of the musician defended themselves.,themselves
2,26,-Head+Distractor,The brother of the musicians defended themselves.,themselves
2,26,-Head-Distractor,The brother of the musician defended themselves.,themselves
2,27,+Head+Distractor,The partners of the lawyers reassured themselves.,themselves
2,27,+Head-Distractor,The partners of the lawyer reassured themselves.,themselves
2,27,-Head+Distractor,The partner of the lawyers reassured themselves.,themselves
2,27,-Head-Distractor,The partner of the lawyer reassured themselves.,themselves
2,28,+Head+Distractor,The advisors of the professors blamed themselves.,themselves
2,28,+Head-Distractor,The advisors of the professor blamed themselves.,themselves
2,28,-Head+Distractor,The advisor of the professors blamed themselves.,themselves
2,28,-Head-Distractor,The advisor of the professor blamed themselves.,themselves
2,29,+Head+Distractor,The mothers of the dancers embarrassed themselves.,themselves
2,29,+Head-Distractor,The mothers of the dancer embarrassed themselves.,themselves
2,29,-Head+Distractor,The mother of the dancers embarrassed themselves.,themselves
2,29,-Head-Distractor,The mother of the dancer embarrassed themselves.,themselves
2,30,+Head+Distractor,The teachers of the singers defended themselves.,themselves
2,30,+Head-Distractor,The teachers of the singer defended themselves.,themselves
2,30,-Head+Distractor,The teacher of the singers defended themselves.,themselves
2,30,-Head-Distractor,The teacher of the singer defended themselves.,themselves
2,31,+Head+Distractor,The friends of the designers protected themselves.,themselves
2,31,+Head-Distractor,The friends of the designer protected themselves.,themselves
2,31,-Head+Distractor,The friend of the designers protected themselves.,themselves
2,31,-Head-Distractor,The friend of the designer protected themselves.,themselves
2,32,+Head+Distractor,The neighbors of the musicians criticized themselves.,themselves
2,32,+Head-Distractor,The neighbors of the musician criticized themselves.,themselves
2,32,-Head+Distractor,The neighbor of the musicians criticized themselves.,themselves
2,32,-Head-Distractor,The neighbor of the musician criticized themselves.,themselves
3,1,+Local+Coarg,John believes that Bill criticized himself.,himself
3,1,+Local+Picture,John believes that Bill saw a picture of himself.,himself
3,1,-Local+Coarg,John believes that Mary criticized himself.,himself
3,1,-Local+Picture,John believes that Mary saw a picture of himself.,himself
3,2,+Local+Coarg,Sarah thinks that Emma praised herself.,herself
3,2,+Local+Picture,Sarah thinks that Emma liked a picture of herself.,herself
3,2,-Local+Coarg,Sarah thinks that Daniel praised herself.,herself
3,2,-Local+Picture,Sarah thinks that Daniel liked a picture of herself.,herself
3,3,+Local+Coarg,Peter was glad that James defended himself.,himself
3,3,+Local+Picture,Peter was glad that James found a picture of himself.,himself
3,3,-Local+Coarg,Peter was glad that Laura defended himself.,himself
3,3,-Local+Picture,Peter was glad that Laura found a picture of himself.,himself
3,4,+Local+Coarg,Rachel believes that Hannah embarrassed herself.,herself
3,4,+Local+Picture,Rachel believes that Hannah bought a picture of herself.,herself
3,4,-Local+Coarg,Rachel believes that Michael embarrassed herself.,herself
3,4,-Local+Picture,Rachel believes that Michael bought a picture of herself.,herself
3,5,+Local+Coarg,David thinks that Tom blamed himself.,himself
3,5,+Local+Picture,David thinks that Tom looked at a picture of himself.,himself
3,5,-Local+Coarg,David thinks that Susan blamed himself.,himself
3,5,-Local+Picture,David thinks that Susan looked at a picture of himself.,himself
3,6,+Local+Coarg,Laura thought that Mary admired herself.,herself
3,6,+Local+Picture,Laura thought that Mary saw a picture of herself.,herself
3,6,-Local+Coarg,Laura thought that Robert admired herself.,herself
3,6,-Local+Picture,Laura thought that Robert saw a picture of herself.,herself
3,7,+Local+Coarg,Michael believes that Daniel humiliated himself.,himself
3,7,+Local+Picture,Michael believes that Daniel liked a picture of himself.,himself
3,7,-Local+Coarg,Michael believes that Anna humiliated himself.,himself
3,7,-Local+Picture,Michael believes that Anna liked a picture of himself.,himself
3,8,+Local+Coarg,Rebecca was glad that Emily photographed herself.,herself
3,8,+Local+Picture,Rebecca was glad that Emily found a picture of herself.,herself
3,8,-Local+Coarg,Rebecca was glad that Ben photographed herself.,herself
3,8,-Local+Picture,Rebecca was glad that Ben found a picture of herself.,herself
3,9,+Local+Coarg,James was upset that Peter praised himself.,himself
3,9,+Local+Picture,James was upset that Peter bought a picture of himself.,himself
3,9,-Local+Coarg,James was upset that Hannah praised himself.,himself
3,9,-Local+Picture,James was upset that Hannah bought a picture of himself.,himself
3,10,+Local+Coarg,Emma thinks that Susan defended herself.,herself
3,10,+Local+Picture,Emma thinks that Susan looked at a picture of herself.,herself
3,10,-Local+Coarg,Emma thinks that David defended herself.,herself
3,10,-Local+Picture,Emma thinks that David looked at a picture of herself.,herself
3,11,+Local+Coarg,Robert believes that Ben embarrassed himself.,himself
3,11,+Local+Picture,Robert believes that Ben saw a picture of himself.,himself
3,11,-Local+Coarg,Robert believes that Rachel embarrassed himself.,himself
3,11,-Local+Picture,Robert believes that Rachel saw a picture of himself.,himself
3,12,+Local+Coarg,Mary was glad that Anna blamed herself.,herself
3,12,+Local+Picture,Mary was glad that Anna liked a picture of herself.,herself
3,12,-Local+Coarg,Mary was glad that Tom blamed herself.,herself
3,12,-Local+Picture,Mary was glad that Tom liked a picture of herself.,herself
3,13,+Local+Coarg,Daniel thinks that Michael admired himself.,himself
3,13,+Local+Picture,Daniel thinks that Michael found a picture of himself.,himself
3,13,-Local+Coarg,Daniel thinks that Laura admired himself.,himself
3,13,-Local+Picture,Daniel thinks that Laura found a picture of himself.,himself
3,14,+Local+Coarg,Hannah thought that Rachel criticized herself.,herself
3,14,+Local+Picture,Hannah thought that Rachel bought a picture of herself.,herself
3,14,-Local+Coarg,Hannah thought that James criticized herself.,herself
3,14,-Local+Picture,Hannah thought that James bought a picture of herself.,herself
3,15,+Local+Coarg,Ben believes that John photographed himself.,himself
3,15,+Local+Picture,Ben believes that John looked at a picture of himself.,himself
3,15,-Local+Coarg,Ben believes that Emily photographed himself.,himself
3,15,-Local+Picture,Ben believes that Emily looked at a picture of himself.,himself
3,16,+Local+Coarg,Susan was glad that Rebecca humiliated herself.,herself
3,16,+Local+Picture,Susan was glad that Rebecca saw a picture of herself.,herself
3,16,-Local+Coarg,Susan was glad that Peter humiliated herself.,herself
3,16,-Local+Picture,Susan was glad that Peter saw a picture of herself.,herself
3,17,+Local+Coarg,Tom thinks that Robert defended himself.,himself
3,17,+Local+Picture,Tom thinks that Robert liked a picture of himself.,himself
3,17,-Local+Coarg,Tom thinks that Emma defended himself.,himself
3,17,-Local+Picture,Tom thinks that Emma liked a picture of himself.,himself
3,18,+Local+Coarg,Anna was upset that Laura praised herself.,herself
3,18,+Local+Picture,Anna was upset that Laura found a picture of herself.,herself
3,18,-Local+Coarg,Anna was upset that Michael praised herself.,herself
3,18,-Local+Picture,Anna was upset that Michael found a picture of herself.,herself
3,19,+Local+Coarg,Peter believes that Daniel blamed himself.,himself
3,19,+Local+Picture,Peter believes that Daniel bought a picture of himself.,himself
3,19,-Local+Coarg,Peter believes that Susan blamed himself.,himself
3,19,-Local+Picture,Peter believes that Susan bought a picture of himself.,himself
3,20,+Local+Coarg,Emily was glad that Hannah embarrassed herself.,herself
3,20,+Local+Picture,Emily was glad that Hannah looked at a picture of herself.,herself
3,20,-Local+Coarg,Emily was glad that Ben embarrassed herself.,herself
3,20,-Local+Picture,Emily was glad that Ben looked at a picture of herself.,herself
3,21,+Local+Coarg,John thought that James humiliated himself.,himself
3,21,+Local+Picture,John thought that James saw a picture of himself.,himself
3,21,-Local+Coarg,John thought that Rebecca humiliated himself.,himself
3,21,-Local+Picture,John thought that Rebecca saw a picture of himself.,himself
3,22,+Local+Coarg,Rachel thinks that Mary admired herself.,herself
3,22,+Local+Picture,Rachel thinks that Mary liked a picture of herself.,herself
3,22,-Local+Coarg,Rachel thinks that David admired herself.,herself
3,22,-Local+Picture,Rachel thinks that David liked a picture of herself.,herself
3,23,+Local+Coarg,Michael believes that Tom criticized himself.,himself
3,23,+Local+Picture,Michael believes that Tom found a picture of himself.,himself
3,23,-Local+Coarg,Michael believes that Anna criticized himself.,himself
3,23,-Local+Picture,Michael believes that Anna found a picture of himself.,himself
3,24,+Local+Coarg,Laura was glad that Emma photographed herself.,herself
3,24,+Local+Picture,Laura was glad that Emma bought a picture of herself.,herself
3,24,-Local+Coarg,Laura was glad that Robert photographed herself.,herself
3,24,-Local+Picture,Laura was glad that Robert bought a picture of herself.,herself
3,25,+Local+Coarg,David thinks that Ben praised himself.,himself
3,25,+Local+Picture,David thinks that Ben looked at a picture of himself.,himself
3,25,-Local+Coarg,David thinks that Hannah praised himself.,himself
3,25,-Local+Picture,David thinks that Hannah looked at a picture of himself.,himself
3,26,+Local+Coarg,Rebecca was upset that Susan defended herself.,herself
3,26,+Local+Picture,Rebecca was upset that Susan saw a picture of herself.,herself
3,26,-Local+Coarg,Rebecca was upset that Peter defended herself.,herself
3,26,-Local+Picture,Rebecca was upset that Peter saw a picture of herself.,herself
3,27,+Local+Coarg,James believes that Michael embarrassed himself.,himself
3,27,+Local+Picture,James believes that Michael liked a picture of himself.,himself
3,27,-Local+Coarg,James believes that Emily embarrassed himself.,himself
3,27,-Local+Picture,James believes that Emily liked a picture of himself.,himself
3,28,+Local+Coarg,Emma was glad that Rachel blamed herself.,herself
3,28,+Local+Picture,Emma was glad that Rachel found a picture of herself.,herself
3,28,-Local+Coarg,Emma was glad that Tom blamed herself.,herself
3,28,-Local+Picture,Emma was glad that Tom found a picture of herself.,herself
3,29,+Local+Coarg,Robert thought that Daniel admired himself.,himself
3,29,+Local+Picture,Robert thought that Daniel bought a picture of himself.,himself
3,29,-Local+Coarg,Robert thought that Mary admired himself.,himself
3,29,-Local+Picture,Robert thought that Mary bought a picture of himself.,himself
3,30,+Local+Coarg,Mary thinks that Anna humiliated herself.,herself
3,30,+Local+Picture,Mary thinks that Anna looked at a picture of herself.,herself
3,30,-Local+Coarg,Mary thinks that John humiliated herself.,herself
3,30,-Local+Picture,Mary thinks that John looked at a picture of herself.,herself
3,31,+Local+Coarg,Daniel believes that Peter photographed himself.,himself
3,31,+Local+Picture,Daniel believes that Peter saw a picture of himself.,himself
3,31,-Local+Coarg,Daniel believes that Laura photographed himself.,himself
3,31,-Local+Picture,Daniel believes that Laura saw a picture of himself.,himself
3,32,+Local+Coarg,Hannah was glad that Rebecca criticized herself.,herself
3,32,+Local+Picture,Hannah was glad that Rebecca liked a picture of herself.,herself
3,32,-Local+Coarg,Hannah was glad that James criticized herself.,herself
3,32,-Local+Picture,Hannah was glad that James liked a picture of herself.,herself
