item_id,condition,sentence,target
26,-Local+Matrix,Rebecca thinks that Ben humiliated herself.,herself
26,-Local-Matrix,Robert thinks that Ben humiliated herself.,herself
27,+Local+Matrix,John heard that James embarrassed himself.,himself
27,+Local-Matrix,Hannah heard that James embarrassed himself.,himself
27,-Local+Matrix,John heard that Laura embarrassed himself.,himself
27,-Local-Matrix,Hannah heard that Laura embarrassed himself.,himself
28,+Local+Matrix,James heard that Robert blamed himself.,himself
28,+Local-Matrix,Rachel heard that Robert blamed himself.,himself
28,-Local+Matrix,James heard that Sarah blamed himself.,himself
28,-Local-Matrix,Rachel heard that Sarah blamed himself.,himself
29,+Local+Matrix,Daniel said that John defended himself.,himself
29,+Local-Matrix,Emily said that John defended himself.,himself
29,-Local+Matrix,Daniel said that Mary defended himself.,himself
29,-Local-Matrix,Emily said that Mary defended himself.,himself
30,+Local+Matrix,Emma said that Mary embarrassed herself.,herself
30,+Local-Matrix,Ben said that Mary embarrassed herself.,herself
30,-Local+Matrix,Emma said that John embarrassed herself.,herself
30,-Local-Matrix,Ben said that John embarrassed herself.,herself
31,+Local+Matrix,Emily heard that Anna humiliated herself.,herself
31,+Local-Matrix,David heard that Anna humiliated herself.,herself
31,-Local+Matrix,Emily heard that Ben humiliated herself.,herself
31,-Local-Matrix,David heard that Ben humiliated herself.,herself
32,+Local+Matrix,Bill heard that Tom defended himself.,himself
32,+Local-Matrix,Mary heard that Tom defended himself.,himself
32,-Local+Matrix,Bill heard that Susan defended himself.,himself
32,-Local-Matrix,Mary heard that Susan defended himself.,himself
