item_id,head_singular,head_plural,distractor_singular,distractor_plural,embedded_verb,target,condition,head_match,distractor_match,sentence
5,sister,sisters,manager,managers,praised,themselves,-Head-Distractor,0,0,The sister of the manager praised themselves.
6,colleague,colleagues,lawyer,lawyers,questioned,themselves,+Head+Distractor,1,1,The colleagues of the lawyers questioned themselves.
6,colleague,colleagues,lawyer,lawyers,questioned,themselves,+Head-Distractor,1,0,The colleagues of the lawyer questioned themselves.
6,colleague,colleagues,lawyer,lawyers,questioned,themselves,-Head+Distractor,0,1,The colleague of the lawyers questioned themselves.
6,colleague,colleagues,lawyer,lawyers,questioned,themselves,-Head-Distractor,0,0,The colleague of the lawyer questioned themselves.
7,assistant,assistants,professor,professors,defended,themselves,+Head+Distractor,1,1,The assistants of the professors defended themselves.
7,assistant,assistants,professor,professors,defended,themselves,+Head-Distractor,1,0,The assistants of the professor defended themselves.
7,assistant,assistants,professor,professors,defended,themselves,-Head+Distractor,0,1,The assistant of the professors defended themselves.
7,assistant,assistants,professor,professors,defended,themselves,-Head-Distractor,0,0,The assistant of the professor defended themselves.
8,cousin,cousins,musician,musicians,reassured,themselves,+Head+Distractor,1,1,The cousins of the musicians reassured themselves.
8,cousin,cousins,musician,musicians,reassured,themselves,+Head-Distractor,1,0,The cousins of the musician reassured themselves.
8,cousin,cousins,musician,musicians,reassured,themselves,-Head+Distractor,0,1,The cousin of the musicians reassured themselves.
8,cousin,cousins,musician,musicians,reassured,themselves,-Head-Distractor,0,0,The cousin of the musician reassured themselves.
9,fan,fans,singer,singers,challenged,themselves,+Head+Distractor,1,1,The fans of the singers challenged themselves.
9,fan,fans,singer,singers,challenged,themselves,+Head-Distractor,1,0,The fans of the singer challenged themselves.
9,fan,fans,singer,singers,challenged,themselves,-Head+Distractor,0,1,The fan of the singers challenged themselves.
9,fan,fans,singer,singers,challenged,themselves,-Head-Distractor,0,0,The fan of the singer challenged themselves.
10,relative,relatives,patient,patients,criticized,themselves,+Head+Distractor,1,1,The relatives of the patients criticized themselves.
10,relative,relatives,patient,patients,criticized,themselves,+Head-Distractor,1,0,The relatives of the patient criticized themselves.
10,relative,relatives,patient,patients,criticized,themselves,-Head+Distractor,0,1,The relative of the patients criticized themselves.
10,relative,relatives,patient,patients,criticized,themselves,-Head-Distractor,0,0,The relative of the patient criticized themselves.
11,father,fathers,girl,girls,congratulated,themselves,+Head+Distractor,1,1,The fathers of the girls congratulated themselves.
11,father,fathers,girl,girls,congratulated,themselves,+Head-Distractor,1,0,The fathers of the girl congratulated themselves.
11,father,fathers,girl,girls,congratulated,themselves,-Head+Distractor,0,1,The father of the girls congratulated themselves.
11,father,fathers,girl,girls,congratulated,themselves,-Head-Distractor,0,0,The father of the girl congratulated themselves.
12,brother,brothers,dancer,dancers,challenged,themselves,+Head+Distractor,1,1,The brothers of the dancers challenged themselves.
12,brother,brothers,dancer,dancers,challenged,themselves,+Head-Distractor,1,0,The brothers of the dancer challenged themselves.
12,brother,brothers,dancer,dancers,challenged,themselves,-Head+Distractor,0,1,The brother of the dancers challenged themselves.
12,brother,brothers,dancer,dancers,challenged,themselves,-Head-Distractor,0,0,The brother of the dancer challenged themselves.
13,partner,partners,designer,designers,praised,themselves,+Head+Distractor,1,1,The partners of the designers praised themselves.
13,partner,partners,designer,designers,praised,themselves,+Head-Distractor,1,0,The partners of the designer praised themselves.
13,partner,partners,designer,designers,praised,themselves,-Head+Distractor,0,1,The partner of the designers praised themselves.
13,partner,partners,designer,designers,praised,themselves,-Head-Distractor,0,0,The partner of the designer praised themselves.
14,lawyer,lawyers,politician,politicians,reassured,themselves,+Head+Distractor,1,1,The lawyers of the politicians reassured themselves.
14,lawyer,lawyers,politician,politicians,reassured,themselves,+Head-Distractor,1,0,The lawyers of the politician reassured themselves.
14,lawyer,lawyers,politician,politicians,reassured,themselves,-Head+Distractor,0,1,The lawyer of the politicians reassured themselves.
14,lawyer,lawyers,politician,politicians,reassured,themselves,-Head-Distractor,0,0,The lawyer of the politician reassured themselves.
15,advisor,advisors,scientist,scientists,blamed,themselves,+Head+Distractor,1,1,The advisors of the scientists blamed themselves.
15,advisor,advisors,scientist,scientists,blamed,themselves,+Head-Distractor,1,0,The advisors of the scientist blamed themselves.
15,advisor,advisors,scientist,scientists,blamed,themselves,-Head+Distractor,0,1,The advisor of the scientists blamed themselves.
15,advisor,advisors,scientist,scientists,blamed,themselves,-Head-Distractor,0,0,The advisor of the scientist blamed themselves.
16,teacher,teachers,researcher,researchers,questioned,themselves,+Head+Distractor,1,1,The teachers of the researchers questioned themselves.
16,teacher,teachers,researcher,researchers,questioned,themselves,+Head-Distractor,1,0,The teachers of the researcher questioned themselves.
16,teacher,teachers,researcher,researchers,questioned,themselves,-Head+Distractor,0,1,The teacher of the researchers questioned themselves.
16,teacher,teachers,researcher,researchers,questioned,themselves,-Head-Distractor,0,0,The teacher of the researcher questioned themselves.
17,friend,friends,doctor,doctors,congratulated,themselves,+Head+Distractor,1,1,The friends of the doctors congratulated themselves.
17,friend,friends,doctor,doctors,congratulated,themselves,+Head-Distractor,1,0,The friends of the doctor congratulated themselves.
17,friend,friends,doctor,doctors,congratulated,themselves,-Head+Distractor,0,1,The friend of the doctors congratulated themselves.
17,friend,friends,doctor,doctors,congratulated,themselves,-Head-Distractor,0,0,The friend of the doctor congratulated themselves.
18,neighbor,neighbors,student,students,embarrassed,themselves,+Head+Distractor,1,1,The neighbors of the students embarrassed themselves.
18,neighbor,neighbors,student,students,embarrassed,themselves,+Head-Distractor,1,0,The neighbors of the student embarrassed themselves.
18,neighbor,neighbors,student,students,embarrassed,themselves,-Head+Distractor,0,1,The neighbor of the students embarrassed themselves.
18,neighbor,neighbors,student,students,embarrassed,themselves,-Head-Distractor,0,0,The neighbor of the student embarrassed themselves.
19,sister,sisters,actor,actors,praised,themselves,+Head+Distractor,1,1,The sisters of the actors praised themselves.
19,sister,sisters,actor,actors,praised,themselves,+Head-Distractor,1,0,The sisters of the actor praised themselves.
19,sister,sisters,actor,actors,praised,themselves,-Head+Distractor,0,1,The sister of the actors praised themselves.
19,sister,sisters,actor,actors,praised,themselves,-Head-Distractor,0,0,The sister of the actor praised themselves.
20,colleague,colleagues,manager,managers,congratulated,themselves,+Head+Distractor,1,1,The colleagues of the managers congratulated themselves.
20,colleague,colleagues,manager,managers,congratulated,themselves,+Head-Distractor,1,0,The colleagues of the manager congratulated themselves.
20,colleague,colleagues,manager,managers,congratulated,themselves,-Head+Distractor,0,1,The colleague of the managers congratulated themselves.
20,colleague,colleagues,manager,managers,congratulated,themselves,-Head-Distractor,0,0,The colleague of the manager congratulated themselves.
21,assistant,assistants,researcher,researchers,questioned,themselves,+Head+Distractor,1,1,The assistants of the researchers questioned themselves.
21,assistant,assistants,researcher,researchers,questioned,themselves,+Head-Distractor,1,0,The assistants of the researcher questioned themselves.
21,assistant,assistants,researcher,researchers,questioned,themselves,-Head+Distractor,0,1,The assistant of the researchers questioned themselves.
21,assistant,assistants,researcher,researchers,questioned,themselves,-Head-Distractor,0,0,The assistant of the researcher questioned themselves.
22,cousin,cousins,teacher,teachers,protected,themselves,+Head+Distractor,1,1,The cousins of the teachers protected themselves.
22,cousin,cousins,teacher,teachers,protected,themselves,+Head-Distractor,1,0,The cousins of the teacher protected themselves.
22,cousin,cousins,teacher,teachers,protected,themselves,-Head+Distractor,0,1,The cousin of the teachers protected themselves.
22,cousin,cousins,teacher,teachers,protected,themselves,-Head-Distractor,0,0,The cousin of the teacher protected themselves.
23,fan,fans,actor,actors,protected,themselves,+Head+Distractor,1,1,The fans of the actors protected themselves.
23,fan,fans,actor,actors,protected,themselves,+Head-Distractor,1,0,The fans of the actor protected themselves.
23,fan,fans,actor,actors,protected,themselves,-Head+Distractor,0,1,The fan of the actors protected themselves.
23,fan,fans,actor,actors,protected,themselves,-Head-Distractor,0,0,The fan of the actor protected themselves.
24,relative,relatives,doctor,doctors,humiliated,themselves,+Head+Distractor,1,1,The relatives of the doctors humiliated themselves.
24,relative,relatives,doctor,doctors,humiliated,themselves,+Head-Distractor,1,0,The relatives of the doctor humiliated themselves.
24,relative,relatives,doctor,doctors,humiliated,themselves,-Head+Distractor,0,1,The relative of the doctors humiliated themselves.
24,relative,relatives,doctor,doctors,humiliated,themselves,-Head-Distractor,0,0,The relative of the doctor humiliated themselves.
25,father,fathers,student,students,challenged,themselves,+Head+Distractor,1,1,The fathers of the students challenged themselves.
25,father,fathers,student,students,challenged,themselves,+Head-Distractor,1,0,The fathers of the student challenged themselves.
25,father,fathers,student,students,challenged,themselves,-Head+Distractor,0,1,The father of the students challenged themselves.
25,father,fathers,student,students,challenged,themselves,-Head-Distractor,0,0,The father of the student challenged themselves.
26,brother,brothers,musician,musicians,defended,themselves,+Head+Distractor,1,1,The brothers of the musicians defended themselves.
26,brother,brothers,musician,musicians,defended,themselves,+Head-Distractor,1,0,The brothers of the musician defended themselves.
26,brother,brothers,musician,musicians,defended,themselves,-Head+Distractor,0,1,The brother of the musicians defended themselves.
26,brother,brothers,musician,musicians,defended,themselves,-Head-Distractor,0,0,The brother of the musician defended themselves.
27,partner,partners,lawyer,lawyers,reassured,themselves,+Head+Distractor,1,1,The partners of the lawyers reassured themselves.
27,partner,partners,lawyer,lawyers,reassured,themselves,+Head-Distractor,1,0,The partners of the lawyer reassured themselves.
27,partner,partners,lawyer,lawyers,reassured,themselves,-Head+Distractor,0,1,The partner of the lawyers reassured themselves.
27,partner,partners,lawyer,lawyers,reassured,themselves,-Head-Distractor,0,0,The partner of the lawyer reassured themselves.
28,advisor,advisors,professor,professors,blamed,themselves,+Head+Distractor,1,1,The advisors of the professors blamed themselves.
28,advisor,advisors,professor,professors,blamed,themselves,+Head-Distractor,1,0,The advisors of the professor blamed themselves.
28,advisor,advisors,professor,professors,blamed,themselves,-Head+Distractor,0,1,The advisor of the professors blamed themselves.
28,advisor,advisors,professor,professors,blamed,themselves,-Head-Distractor,0,0,The advisor of the professor blamed themselves.
29,mother,mothers,dancer,dancers,embarrassed,themselves,+Head+Distractor,1,1,The mothers of the dancers embarrassed themselves.
29,mother,mothers,dancer,dancers,embarrassed,themselves,+Head-Distractor,1,0,The mothers of the dancer embarrassed themselves.
29,mother,mothers,dancer,dancers,embarrassed,themselves,-Head+Distractor,0,1,The mother of the dancers embarrassed themselves.
29,mother,mothers,dancer,dancers,embarrassed,themselves,-Head-Distractor,0,0,The mother of the dancer embarrassed themselves.
30,teacher,teachers,singer,singers,defended,themselves,+Head+Distractor,1,1,The teachers of the singers defended themselves.
30,teacher,teachers,singer,singers,defended,themselves,+Head-Distractor,1,0,The teachers of the singer defended themselves.
30,teacher,teachers,singer,singers,defended,themselves,-Head+Distractor,0,1,The teacher of the singers defended themselves.
30,teacher,teachers,singer,singers,defended,themselves,-Head-Distractor,0,0,The teacher of the singer defended themselves.
31,friend,friends,designer,designers,protected,themselves,+Head+Distractor,1,1,The friends of the designers protected themselves.
31,friend,friends,designer,designers,protected,themselves,+Head-Distractor,1,0,The friends of the designer protected themselves.
31,friend,friends,designer,designers,protected,themselves,-Head+Distractor,0,1,The friend of the designers protected themselves.
31,friend,friends,designer,designers,protected,themselves,-Head-Distractor,0,0,The friend of the designer protected themselves.
32,neighbor,neighbors,musician,musicians,criticized,themselves,+Head+Distractor,1,1,The neighbors of the musicians criticized themselves.
32,neighbor,neighbors,musician,musicians,criticized,themselves,+Head-Distractor,1,0,The neighbors of the musician criticized themselves.
32,neighbor,neighbors,musician,musicians,criticized,themselves,-Head+Distractor,0,1,The neighbor of the musicians criticized themselves.
32,neighbor,neighbors,musician,musicians,criticized,themselves,-Head-Distractor,0,0,The neighbor of the musician criticized themselves.
