item_id,condition,sentence,target,surprisal,Head_Match,Distractor_Match
23,+Head-Distractor,The fans of the actor protected themselves.,themselves,6.40625,+Head,-Distractor
23,-Head+Distractor,The fan of the actors protected themselves.,themselves,6.75,-Head,+Distractor
23,-Head-Distractor,The fan of the actor protected themselves.,themselves,8.3125,-Head,-Distractor
24,+Head+Distractor,The relatives of the doctors humiliated themselves.,themselves,5.71875,+Head,+Distractor
24,+Head-Distractor,The relatives of the doctor humiliated themselves.,themselves,9.625,+Head,-Distractor
24,-Head+Distractor,The relative of the doctors humiliated themselves.,themselves,7.25,-Head,+Distractor
24,-Head-Distractor,The relative of the doctor humiliated themselves.,themselves,13.0625,-Head,-Distractor
25,+Head+Distractor,The fathers of the students challenged themselves.,themselves,6.09375,+Head,+Distractor
25,+Head-Distractor,The fathers of the student challenged themselves.,themselves,7.65625,+Head,-Distractor
25,-Head+Distractor,The father of the students challenged themselves.,themselves,9.125,-Head,+Distractor
25,-Head-Distractor,The father of the student challenged themselves.,themselves,15.6875,-Head,-Distractor
26,+Head+Distractor,The brothers of the musicians defended themselves.,themselves,2.4375,+Head,+Distractor
26,+Head-Distractor,The brothers of the musician defended themselves.,themselves,1.578125,+Head,-Distractor
26,-Head+Distractor,The brother of the musicians defended themselves.,themselves,5.90625,-Head,+Distractor
26,-Head-Distractor,The brother of the musician defended themselves.,themselves,8.0,-Head,-Distractor
27,+Head+Distractor,The partners of the lawyers reassured themselves.,themselves,5.65625,+Head,+Distractor
27,+Head-Distractor,The partners of the lawyer reassured themselves.,themselves,5.90625,+Head,-Distractor
27,-Head+Distractor,The partner of the lawyers reassured themselves.,themselves,11.5625,-Head,+Distractor
27,-Head-Distractor,The partner of the lawyer reassured themselves.,themselves,12.625,-Head,-Distractor
28,+Head+Distractor,The advisors of the professors blamed themselves.,themselves,7.25,+Head,+Distractor
28,+Head-Distractor,The advisors of the professor blamed themselves.,themselves,6.71875,+Head,-Distractor
28,-Head+Distractor,The advisor of the professors blamed themselves.,themselves,8.3125,-Head,+Distractor
28,-Head-Distractor,The advisor of the professor blamed themselves.,themselves,10.5625,-Head,-Distractor
29,+Head+Distractor,The mothers of the dancers embarrassed themselves.,themselves,4.3125,+Head,+Distractor
29,+Head-Distractor,The mothers of the dancer embarrassed themselves.,themselves,6.125,+Head,-Distractor
29,-Head+Distractor,The mother of the dancers embarrassed themselves.,themselves,8.9375,-Head,+Distractor
29,-Head-Distractor,The mother of the dancer embarrassed themselves.,themselves,11.8125,-Head,-Distractor
30,+Head+Distractor,The teachers of the singers defended themselves.,themselves,3.96875,+Head,+Distractor
30,+Head-Distractor,The teachers of the singer defended themselves.,themselves,2.140625,+Head,-Distractor
30,-Head+Distractor,The teacher of the singers defended themselves.,themselves,9.125,-Head,+Distractor
30,-Head-Distractor,The teacher of the singer defended themselves.,themselves,8.625,-Head,-Distractor
31,+Head+Distractor,The friends of the designers protected themselves.,themselves,5.9375,+Head,+Distractor
31,+Head-Distractor,The friends of the designer protected themselves.,themselves,5.90625,+Head,-Distractor
31,-Head+Distractor,The friend of the designers protected themselves.,themselves,8.625,-Head,+Distractor
31,-Head-Distractor,The friend of the designer protected themselves.,themselves,9.9375,-Head,-Distractor
32,+Head+Distractor,The neighbors of the musicians criticized themselves.,themselves,12.0,+Head,+Distractor
32,+Head-Distractor,The neighbors of the musician criticized themselves.,themselves,12.0625,+Head,-Distractor
32,-Head+Distractor,The neighbor of the musicians criticized themselves.,themselves,14.25,-Head,+Distractor
32,-Head-Distractor,The neighbor of the musician criticized themselves.,themselves,17.0,-Head,-Distractor
