item_id,condition,sentence,target,surprisal
18,+Local+Picture,Anna was upset that Laura found a picture of herself.,herself,4.96875
18,-Local+Coarg,Anna was upset that Michael praised herself.,herself,8.0
18,-Local+Picture,Anna was upset that Michael found a picture of herself.,herself,6.75
19,+Local+Coarg,Peter believes that Daniel blamed himself.,himself,5.125
19,+Local+Picture,Peter believes that Daniel bought a picture of himself.,himself,3.0625
19,-Local+Coarg,Peter believes that Susan blamed himself.,himself,7.34375
19,-Local+Picture,Peter believes that Susan bought a picture of himself.,himself,5.3125
20,+Local+Coarg,Emily was glad that Hannah embarrassed herself.,herself,3.515625
20,+Local+Picture,Emily was glad that Hannah looked at a picture of herself.,herself,3.875
20,-Local+Coarg,Emily was glad that Ben embarrassed herself.,herself,7.71875
20,-Local+Picture,Emily was glad that Ben looked at a picture of herself.,herself,7.53125
21,+Local+Coarg,John thought that James humiliated himself.,himself,5.78125
21,+Local+Picture,John thought that James saw a picture of himself.,himself,3.25
21,-Local+Coarg,John thought that Rebecca humiliated himself.,himself,7.46875
21,-Local+Picture,John thought that Rebecca saw a picture of himself.,himself,4.15625
22,+Local+Coarg,Rachel thinks that Mary admired herself.,herself,8.125
22,+Local+Picture,Rachel thinks that Mary liked a picture of herself.,herself,3.96875
22,-Local+Coarg,Rachel thinks that David admired herself.,herself,8.625
22,-Local+Picture,Rachel thinks that David liked a picture of herself.,herself,5.875
23,+Local+Coarg,Michael believes that Tom criticized himself.,himself,8.625
23,+Local+Picture,Michael believes that Tom found a picture of himself.,himself,3.34375
23,-Local+Coarg,Michael believes that Anna criticized himself.,himself,10.4375
23,-Local+Picture,Michael believes that Anna found a picture of himself.,himself,6.40625
24,+Local+Coarg,Laura was glad that Emma photographed herself.,herself,8.3125
24,+Local+Picture,Laura was glad that Emma bought a picture of herself.,herself,4.40625
24,-Local+Coarg,Laura was glad that Robert photographed herself.,herself,11.8125
24,-Local+Picture,Laura was glad that Robert bought a picture of herself.,herself,8.0
25,+Local+Coarg,David thinks that Ben praised himself.,himself,6.34375
25,+Local+Picture,David thinks that Ben looked at a picture of himself.,himself,3.875
25,-Local+Coarg,David thinks that Hannah praised himself.,himself,9.0
25,-Local+Picture,David thinks that Hannah looked at a picture of himself.,himself,5.875
26,+Local+Coarg,Rebecca was upset that Susan defended herself.,herself,5.21875
26,+Local+Picture,Rebecca was upset that Susan saw a picture of herself.,herself,6.84375
26,-Local+Coarg,Rebecca was upset that Peter defended herself.,herself,9.0
26,-Local+Picture,Rebecca was upset that Peter saw a picture of herself.,herself,6.40625
27,+Local+Coarg,James believes that Michael embarrassed himself.,himself,2.15625
27,+Local+Picture,James believes that Michael liked a picture of himself.,himself,2.96875
27,-Local+Coarg,James believes that Emily embarrassed himself.,himself,6.40625
27,-Local+Picture,James believes that Emily liked a picture of himself.,himself,6.59375
28,+Local+Coarg,Emma was glad that Rachel blamed herself.,herself,1.8046875
28,+Local+Picture,Emma was glad that Rachel found a picture of herself.,herself,4.6875
28,-Local+Coarg,Emma was glad that Tom blamed herself.,herself,8.0625
28,-Local+Picture,Emma was glad that Tom found a picture of herself.,herself,8.125
29,+Local+Coarg,Robert thought that Daniel admired himself.,himself,8.8125
29,+Local+Picture,Robert thought that Daniel bought a picture of himself.,himself,2.4375
29,-Local+Coarg,Robert thought that Mary admired himself.,himself,10.5
29,-Local+Picture,Robert thought that Mary bought a picture of himself.,himself,8.0
30,+Local+Coarg,Mary thinks that Anna humiliated herself.,herself,6.5
30,+Local+Picture,Mary thinks that Anna looked at a picture of herself.,herself,3.0625
30,-Local+Coarg,Mary thinks that John humiliated herself.,herself,8.3125
30,-Local+Picture,Mary thinks that John looked at a picture of herself.,herself,6.03125
31,+Local+Coarg,Daniel believes that Peter photographed himself.,himself,6.125
31,+Local+Picture,Daniel believes that Peter saw a picture of himself.,himself,4.0625
31,-Local+Coarg,Daniel believes that Laura photographed himself.,himself,8.625
31,-Local+Picture,Daniel believes that Laura saw a picture of himself.,himself,4.875
32,+Local+Coarg,Hannah was glad that Rebecca criticized herself.,herself,9.8125
32,+Local+Picture,Hannah was glad that Rebecca liked a picture of herself.,herself,4.25
32,-Local+Coarg,Hannah was glad that James criticized herself.,herself,9.625
32,-Local+Picture,Hannah was glad that James liked a picture of herself.,herself,6.03125
