item_id,condition,sentence,target,surprisal,Local_Match,Matrix_Match
22,+Local+Matrix,Tom thinks that Peter praised himself.,himself,5.8125,+Local,+Matrix
22,+Local-Matrix,Sarah thinks that Peter praised himself.,himself,6.84375,+Local,-Matrix
22,-Local+Matrix,Tom thinks that Rebecca praised himself.,himself,10.125,-Local,+Matrix
22,-Local-Matrix,Sarah thinks that Rebecca praised himself.,himself,11.0625,-Local,-Matrix
23,+Local+Matrix,Laura said that Emma admired herself.,herself,7.75,+Local,+Matrix
23,+Local-Matrix,David said that Emma admired herself.,herself,8.875,+Local,-Matrix
23,-Local+Matrix,Laura said that Bill admired herself.,herself,10.0,-Local,+Matrix
23,-Local-Matrix,David said that Bill admired herself.,herself,13.6875,-Local,-Matrix
24,+Local+Matrix,Peter thinks that Ben photographed himself.,himself,5.90625,+Local,+Matrix
24,+Local-Matrix,Rachel thinks that Ben photographed himself.,himself,6.1875,+Local,-Matrix
24,-Local+Matrix,Peter thinks that Anna photographed himself.,himself,8.4375,-Local,+Matrix
24,-Local-Matrix,Rachel thinks that Anna photographed himself.,himself,10.25,-Local,-Matrix
25,+Local+Matrix,Mary heard that Emma photographed herself.,herself,6.59375,+Local,+Matrix
25,+Local-Matrix,Michael heard that Emma photographed herself.,herself,5.78125,+Local,-Matrix
25,-Local+Matrix,Mary heard that Daniel photographed herself.,herself,9.5,-Local,+Matrix
25,-Local-Matrix,Michael heard that Daniel photographed herself.,herself,10.5,-Local,-Matrix
26,+Local+Matrix,Rebecca thinks that Anna humiliated herself.,herself,4.125,+Local,+Matrix
26,+Local-Matrix,Robert thinks that Anna humiliated herself.,herself,4.96875,+Local,-Matrix
26,-Local+Matrix,Rebecca thinks that Ben humiliated herself.,herself,9.4375,-Local,+Matrix
26,-Local-Matrix,Robert thinks that Ben humiliated herself.,herself,9.375,-Local,-Matrix
27,+Local+Matrix,John heard that James embarrassed himself.,himself,3.046875,+Local,+Matrix
27,+Local-Matrix,Hannah heard that James embarrassed himself.,himself,2.40625,+Local,-Matrix
27,-Local+Matrix,John heard that Laura embarrassed himself.,himself,6.09375,-Local,+Matrix
27,-Local-Matrix,Hannah heard that Laura embarrassed himself.,himself,9.5,-Local,-Matrix
28,+Local+Matrix,James heard that Robert blamed himself.,himself,4.1875,+Local,+Matrix
28,+Local-Matrix,Rachel heard that Robert blamed himself.,himself,6.0,+Local,-Matrix
28,-Local+Matrix,James heard that Sarah blamed himself.,himself,6.5,-Local,+Matrix
28,-Local-Matrix,Rachel heard that Sarah blamed himself.,himself,11.625,-Local,-Matrix
29,+Local+Matrix,Daniel said that John defended himself.,himself,2.484375,+Local,+Matrix
29,+Local-Matrix,Emily said that John defended himself.,himself,3.046875,+Local,-Matrix
29,-Local+Matrix,Daniel said that Mary defended himself.,himself,7.625,-Local,+Matrix
29,-Local-Matrix,Emily said that Mary defended himself.,himself,9.4375,-Local,-Matrix
30,+Local+Matrix,Emma said that Mary embarrassed herself.,herself,3.5625,+Local,+Matrix
30,+Local-Matrix,Ben said that Mary embarrassed herself.,herself,4.0,+Local,-Matrix
30,-Local+Matrix,Emma said that John embarrassed herself.,herself,6.8125,-Local,+Matrix
30,-Local-Matrix,Ben said that John embarrassed herself.,herself,8.75,-Local,-Matrix
31,+Local+Matrix,Emily heard that Anna humiliated herself.,herself,5.09375,+Local,+Matrix
31,+Local-Matrix,David heard that Anna humiliated herself.,herself,6.5,+Local,-Matrix
31,-Local+Matrix,Emily heard that Ben humiliated herself.,herself,8.3125,-Local,+Matrix
31,-Local-Matrix,David heard that Ben humiliated herself.,herself,10.625,-Local,-Matrix
32,+Local+Matrix,Bill heard that Tom defended himself.,himself,4.09375,+Local,+Matrix
32,+Local-Matrix,Mary heard that Tom defended himself.,himself,3.515625,+Local,-Matrix
32,-Local+Matrix,Bill heard that Susan defended himself.,himself,7.75,-Local,+Matrix
32,-Local-Matrix,Mary heard that Susan defended himself.,himself,8.8125,-Local,-Matrix
