item_id,target,matrix_frame,embedded_verb,condition,local_match,matrix_match,sentence
28,himself,heard that,blamed,+Local+Matrix,1,1,James heard that Robert blamed himself.
28,himself,heard that,blamed,+Local-Matrix,1,0,Rachel heard that Robert blamed himself.
28,himself,heard that,blamed,-Local+Matrix,0,1,James heard that Sarah blamed himself.
28,himself,heard that,blamed,-Local-Matrix,0,0,Rachel heard that Sarah blamed himself.
29,himself,said that,defended,+Local+Matrix,1,1,Daniel said that John defended himself.
29,himself,said that,defended,+Local-Matrix,1,0,Emily said that John defended himself.
29,himself,said that,defended,-Local+Matrix,0,1,Daniel said that Mary defended himself.
29,himself,said that,defended,-Local-Matrix,0,0,Emily said that Mary defended himself.
30,herself,said that,embarrassed,+Local+Matrix,1,1,Emma said that Mary embarrassed herself.
30,herself,said that,embarrassed,+Local-Matrix,1,0,Ben said that Mary embarrassed herself.
30,herself,said that,embarrassed,-Local+Matrix,0,1,Emma said that John embarrassed herself.
30,herself,said that,embarrassed,-Local-Matrix,0,0,Ben said that John embarrassed herself.
31,herself,heard that,humiliated,+Local+Matrix,1,1,Emily heard that Anna humiliated herself.
31,herself,heard that,humiliated,+Local-Matrix,1,0,David heard that Anna humiliated herself.
31,herself,heard that,humiliated,-Local+Matrix,0,1,Emily heard that Ben humiliated herself.
31,herself,heard that,humiliated,-Local-Matrix,0,0,David heard that Ben humiliated herself.
32,himself,heard that,defended,+Local+Matrix,1,1,Bill heard that Tom defended himself.
32,himself,heard that,defended,+Local-Matrix,1,0,Mary heard that Tom defended himself.
32,himself,heard that,defended,-Local+Matrix,0,1,Bill heard that Susan defended himself.
32,himself,heard that,defended,-Local-Matrix,0,0,Mary heard that Susan defended himself.
