item_id,condition,sentence,target,surprisal,Head_Match,Distractor_Match
7,+Head+Distractor,The assistants of the professors defended themselves.,themselves,4.78125,+Head,+Distractor
7,+Head-Distractor,The assistants of the professor defended themselves.,themselves,6.03125,+Head,-Distractor
7,-Head+Distractor,The assistant of the professors defended themselves.,themselves,6.9375,-Head,+Distractor
7,-Head-Distractor,The assistant of the professor defended themselves.,themselves,9.1875,-Head,-Distractor
8,+Head+Distractor,The cousins of the musicians reassured themselves.,themselves,3.703125,+Head,+Distractor
8,+Head-Distractor,The cousins of the musician reassured themselves.,themselves,4.46875,+Head,-Distractor
8,-Head+Distractor,The cousin of the musicians reassured themselves.,themselves,9.0,-Head,+Distractor
8,-Head-Distractor,The cousin of the musician reassured themselves.,themselves,10.375,-Head,-Distractor
9,+Head+Distractor,The fans of the singers challenged themselves.,themselves,7.40625,+Head,+Distractor
9,+Head-Distractor,The fans of the singer challenged themselves.,themselves,7.875,+Head,-Distractor
9,-Head+Distractor,The fan of the singers challenged themselves.,themselves,8.5,-Head,+Distractor
9,-Head-Distractor,The fan of the singer challenged themselves.,themselves,10.5,-Head,-Distractor
10,+Head+Distractor,The relatives of the patients criticized themselves.,themselves,13.5,+Head,+Distractor
10,+Head-Distractor,The relatives of the patient criticized themselves.,themselves,15.125,+Head,-Distractor
10,-Head+Distractor,The relative of the patients criticized themselves.,themselves,14.0,-Head,+Distractor
10,-Head-Distractor,The relative of the patient criticized themselves.,themselves,14.6875,-Head,-Distractor
11,+Head+Distractor,The fathers of the girls congratulated themselves.,themselves,4.65625,+Head,+Distractor
11,+Head-Distractor,The fathers of the girl congratulated themselves.,themselves,4.875,+Head,-Distractor
11,-Head+Distractor,The father of the girls congratulated themselves.,themselves,10.3125,-Head,+Distractor
11,-Head-Distractor,The father of the girl congratulated themselves.,themselves,13.5,-Head,-Distractor
12,+Head+Distractor,The brothers of the dancers challenged themselves.,themselves,3.96875,+Head,+Distractor
12,+Head-Distractor,The brothers of the dancer challenged themselves.,themselves,5.90625,+Head,-Distractor
12,-Head+Distractor,The brother of the dancers challenged themselves.,themselves,7.125,-Head,+Distractor
12,-Head-Distractor,The brother of the dancer challenged themselves.,themselves,11.8125,-Head,-Distractor
13,+Head+Distractor,The partners of the designers praised themselves.,themselves,12.375,+Head,+Distractor
13,+Head-Distractor,The partners of the designer praised themselves.,themselves,12.8125,+Head,-Distractor
13,-Head+Distractor,The partner of the designers praised themselves.,themselves,13.5,-Head,+Distractor
13,-Head-Distractor,The partner of the designer praised themselves.,themselves,18.5,-Head,-Distractor
14,+Head+Distractor,The lawyers of the politicians reassured themselves.,themselves,6.75,+Head,+Distractor
14,+Head-Distractor,The lawyers of the politician reassured themselves.,themselves,7.625,+Head,-Distractor
14,-Head+Distractor,The lawyer of the politicians reassured themselves.,themselves,15.4375,-Head,+Distractor
14,-Head-Distractor,The lawyer of the politician reassured themselves.,themselves,14.8125,-Head,-Distractor
15,+Head+Distractor,The advisors of the scientists blamed themselves.,themselves,7.34375,+Head,+Distractor
15,+Head-Distractor,The advisors of the scientist blamed themselves.,themselves,8.5,+Head,-Distractor
15,-Head+Distractor,The advisor of the scientists blamed themselves.,themselves,9.75,-Head,+Distractor
15,-Head-Distractor,The advisor of the scientist blamed themselves.,themselves,9.375,-Head,-Distractor
16,+Head+Distractor,The teachers of the researchers questioned themselves.,themselves,9.625,+Head,+Distractor
16,+Head-Distractor,The teachers of the researcher questioned themselves.,themselves,9.5,+Head,-Distractor
16,-Head+Distractor,The teacher of the researchers questioned themselves.,themselves,11.75,-Head,+Distractor
16,-Head-Distractor,The teacher of the researcher questioned themselves.,themselves,14.9375,-Head,-Distractor
17,+Head+Distractor,The friends of the doctors congratulated themselves.,themselves,9.0,+Head,+Distractor
17,+Head-Distractor,The friends of the doctor congratulated themselves.,themselves,9.4375,+Head,-Distractor
17,-Head+Distractor,The friend of the doctors congratulated themselves.,themselves,9.125,-Head,+Distractor
17,-Head-Distractor,The friend of the doctor congratulated themselves.,themselves,10.625,-Head,-Distractor
18,+Head+Distractor,The neighbors of the students embarrassed themselves.,themselves,3.71875,+Head,+Distractor
18,+Head-Distractor,The neighbors of the student embarrassed themselves.,themselves,4.15625,+Head,-Distractor
18,-Head+Distractor,The neighbor of the students embarrassed themselves.,themselves,5.53125,-Head,+Distractor
18,-Head-Distractor,The neighbor of the student embarrassed themselves.,themselves,9.0,-Head,-Distractor
19,+Head+Distractor,The sisters of the actors praised themselves.,themselves,8.125,+Head,+Distractor
19,+Head-Distractor,The sisters of the actor praised themselves.,themselves,11.5625,+Head,-Distractor
19,-Head+Distractor,The sister of the actors praised themselves.,themselves,10.9375,-Head,+Distractor
19,-Head-Distractor,The sister of the actor praised themselves.,themselves,16.5,-Head,-Distractor
20,+Head+Distractor,The colleagues of the managers congratulated themselves.,themselves,8.875,+Head,+Distractor
20,+Head-Distractor,The colleagues of the manager congratulated themselves.,themselves,11.375,+Head,-Distractor
20,-Head+Distractor,The colleague of the managers congratulated themselves.,themselves,8.625,-Head,+Distractor
20,-Head-Distractor,The colleague of the manager congratulated themselves.,themselves,12.25,-Head,-Distractor
21,+Head+Distractor,The assistants of the researchers questioned themselves.,themselves,11.125,+Head,+Distractor
21,+Head-Distractor,The assistants of the researcher questioned themselves.,themselves,10.1875,+Head,-Distractor
21,-Head+Distractor,The assistant of the researchers questioned themselves.,themselves,12.0625,-Head,+Distractor
21,-Head-Distractor,The assistant of the researcher questioned themselves.,themselves,13.375,-Head,-Distractor
22,+Head+Distractor,The cousins of the teachers protected themselves.,themselves,4.3125,+Head,+Distractor
22,+Head-Distractor,The cousins of the teacher protected themselves.,themselves,4.96875,+Head,-Distractor
22,-Head+Distractor,The cousin of the teachers protected themselves.,themselves,7.65625,-Head,+Distractor
22,-Head-Distractor,The cousin of the teacher protected themselves.,themselves,10.6875,-Head,-Distractor
23,+Head+Distractor,The fans of the actors protected themselves.,themselves,6.03125,+Head,+Distractor
23,+Head-Distractor,The fans of the actor protected themselves.,themselves,7.125,+Head,-Distractor
23,-Head+Distractor,The fan of the actors protected themselves.,themselves,6.3125,-Head,+Distractor
23,-Head-Distractor,The fan of the actor protected themselves.,themselves,8.6875,-Head,-Distractor
24,+Head+Distractor,The relatives of the doctors humiliated themselves.,themselves,5.875,+Head,+Distractor
24,+Head-Distractor,The relatives of the doctor humiliated themselves.,themselves,6.09375,+Head,-Distractor
24,-Head+Distractor,The relative of the doctors humiliated themselves.,themselves,6.625,-Head,+Distractor
24,-Head-Distractor,The relative of the doctor humiliated themselves.,themselves,7.25,-Head,-Distractor
25,+Head+Distractor,The fathers of the students challenged themselves.,themselves,2.859375,+Head,+Distractor
25,+Head-Distractor,The fathers of the student challenged themselves.,themselves,10.5625,+Head,-Distractor
25,-Head+Distractor,The father of the students challenged themselves.,themselves,7.625,-Head,+Distractor
25,-Head-Distractor,The father of the student challenged themselves.,themselves,18.25,-Head,-Distractor
26,+Head+Distractor,The brothers of the musicians defended themselves.,themselves,2.875,+Head,+Distractor
26,+Head-Distractor,The brothers of the musician defended themselves.,themselves,3.828125,+Head,-Distractor
26,-Head+Distractor,The brother of the musicians defended themselves.,themselves,6.8125,-Head,+Distractor
26,-Head-Distractor,The brother of the musician defended themselves.,themselves,9.4375,-Head,-Distractor
27,+Head+Distractor,The partners of the lawyers reassured themselves.,themselves,6.34375,+Head,+Distractor
27,+Head-Distractor,The partners of the lawyer reassured themselves.,themselves,6.21875,+Head,-Distractor
27,-Head+Distractor,The partner of the lawyers reassured themselves.,themselves,10.125,-Head,+Distractor
27,-Head-Distractor,The partner of the lawyer reassured themselves.,themselves,12.0625,-Head,-Distractor
28,+Head+Distractor,The advisors of the professors blamed themselves.,themselves,6.9375,+Head,+Distractor
28,+Head-Distractor,The advisors of the professor blamed themselves.,themselves,7.84375,+Head,-Distractor
28,-Head+Distractor,The advisor of the professors blamed themselves.,themselves,8.5,-Head,+Distractor
28,-Head-Distractor,The advisor of the professor blamed themselves.,themselves,10.625,-Head,-Distractor
29,+Head+Distractor,The mothers of the dancers embarrassed themselves.,themselves,3.0,+Head,+Distractor
29,+Head-Distractor,The mothers of the dancer embarrassed themselves.,themselves,5.8125,+Head,-Distractor
29,-Head+Distractor,The mother of the dancers embarrassed themselves.,themselves,6.21875,-Head,+Distractor
29,-Head-Distractor,The mother of the dancer embarrassed themselves.,themselves,12.375,-Head,-Distractor
30,+Head+Distractor,The teachers of the singers defended themselves.,themselves,2.84375,+Head,+Distractor
30,+Head-Distractor,The teachers of the singer defended themselves.,themselves,4.1875,+Head,-Distractor
30,-Head+Distractor,The teacher of the singers defended themselves.,themselves,7.46875,-Head,+Distractor
30,-Head-Distractor,The teacher of the singer defended themselves.,themselves,9.75,-Head,-Distractor
31,+Head+Distractor,The friends of the designers protected themselves.,themselves,7.21875,+Head,+Distractor
31,+Head-Distractor,The friends of the designer protected themselves.,themselves,7.3125,+Head,-Distractor
31,-Head+Distractor,The friend of the designers protected themselves.,themselves,8.9375,-Head,+Distractor
31,-Head-Distractor,The friend of the designer protected themselves.,themselves,9.625,-Head,-Distractor
32,+Head+Distractor,The neighbors of the musicians criticized themselves.,themselves,10.75,+Head,+Distractor
32,+Head-Distractor,The neighbors of the musician criticized themselves.,themselves,11.625,+Head,-Distractor
32,-Head+Distractor,The neighbor of the musicians criticized themselves.,themselves,12.25,-Head,+Distractor
32,-Head-Distractor,The neighbor of the musician criticized themselves.,themselves,15.3125,-Head,-Distractor
